cnes,nome,endereco,cidade,estado,email_unidade_saude,telefone,cep,pais
9151532,HOSPITAL CASA DE PORTUGAL ADM E GESTAO HOSPITALAR,Avenida Matheus Lessa - 910,RIO DE JANEIRO,RIO DE JANEIRO,melvin.kris@blanda.example,(47) 2293-8824,56440-537,Brasil
9505512,HOSPITAL CASA HOSPITAL DO CANCER,Travessa Sílvia - 9309,RIO DE JANEIRO,RIO DE JANEIRO,nereida_willms@mcglynn-schmeler.example,(94) 2759-8421,90635-571,Brasil
3947262,HOSPITAL CASA SANTA CRUZ HOSPITAL GERAL ADMINISTRACAO E GE,Rodovia Sara Diegues - 965,RIO DE JANEIRO,RIO DE JANEIRO,brooke@krajcik.example,(51) 6079-1327,38113-817,Brasil
9214763,HOSPITAL CASA SAO BERNARDO,Avenida Maitê Espinhosa - 395,RIO DE JANEIRO,RIO DE JANEIRO,marisha_spencer@kerluke-wintheiser.example,(87) 0128-0435,16288-882,Brasil
7244339,HOSPITAL CAXIAS DOR,Marginal Sarah Costa - 877,DUQUE DE CAXIAS,RIO DE JANEIRO,juana.marquardt@tremblay.example,(14) 5209-6506,54292-538,Brasil
3521133,HOSPITAL CEMERU,Alameda Bryan - 2398,RIO DE JANEIRO,RIO DE JANEIRO,sol_stroman@hauck.example,(69) 5228-1293,12961-904,Brasil
6043941,HOSPITAL CENTRAL DA AERONAUTICA HCA,Avenida Davi Luiz Viveiros - s/n,RIO DE JANEIRO,RIO DE JANEIRO,ciera@jacobi-daniel.example,(14) 3987-9038,88005-245,Brasil
2273438,HOSPITAL CENTRAL DA POLICIA MILITAR DO ESTADO DO RIO DE JANE,Ponte Vicente - 90008,RIO DE JANEIRO,RIO DE JANEIRO,tamara_buckridge@prohaska.test,(83) 9195-1240,33842-759,Brasil
2278189,HOSPITAL CENTRAL DE EMERGENCIA,Avenida Emanuel - 9731,CABO FRIO,RIO DE JANEIRO,lavern.haag@effertz-blick.test,(98) 4665-6967,31914-722,Brasil
6753469,HOSPITAL CENTRAL DO EXERCITO,Rua João Ouriques - 97176,RIO DE JANEIRO,RIO DE JANEIRO,dannie@beatty-cartwright.test,(54) 7416-1128,40474-228,Brasil
3191176,HOSPITAL CLIMEDE,Viela Luiz Henrique Castelo - 95561,RIO DE JANEIRO,RIO DE JANEIRO,mitchel@padberg.example,(91) 9151-1054,79446-599,Brasil
3179435,HOSPITAL CLINERP,Avenida Bryan Quaresma - 5899,CABO FRIO,RIO DE JANEIRO,ouida_kihn@konopelski-ortiz.test,(79) 8451-6388,08611-547,Brasil
2298740,HOSPITAL CLINICA GRAJAU,Rua Luiza - 150,RIO DE JANEIRO,RIO DE JANEIRO,carlos@reichert.test,(92) 1893-6303,46099-277,Brasil
2275619,HOSPITAL CLINICO DE CORREAS H C C,Rodovia Ryan Nunes - 95880,PETROPOLIS,RIO DE JANEIRO,burton_terry@walter.example,(95) 2093-9186,73885-513,Brasil
3005992,HOSPITAL COPA DOR,Marginal Pérola Carvalho - s/n,RIO DE JANEIRO,RIO DE JANEIRO,bobbie@bednar.example,(21) 7417-5742,75915-199,Brasil
9923837,HOSPITAL DA MULHER DRA NISE DA SILVEIRA,Marginal Mércia Nascimento - 18259,MACEIO,ALAGOAS,tanja@lockman-fahey.test,(88) 6190-5569,34588-026,Brasil
3014673,HOSPITAL DANIEL LIPP,Marginal Patricia - 162,DUQUE DE CAXIAS,RIO DE JANEIRO,margorie.daniel@sauer.example,(83) 2006-2562,71599-556,Brasil
3002918,HOSPITAL DA ORDEM DO CARMO,Travessa Carla - s/n,RIO DE JANEIRO,RIO DE JANEIRO,marquitta@block.example,(83) 5609-3167,61530-577,Brasil
27987,HOSPITAL DA POLICIA MILITAR,Marginal Isabelly Gentil - s/n,BELO HORIZONTE,MINAS GERAIS,nilsa.lockman@boehm.test,(65) 0265-1825,37880-979,Brasil
12548,HOSPITAL DA POLICIA MILITAR DE NITEROI,Travessa Enrico Bomdia - s/n,NITEROI,RIO DE JANEIRO,keith.kling@fisher.test,(33) 1506-8783,23448-621,Brasil
12017,HOSPITAL DA POLICIA MILITAR HPM,Ponte Tiago Aguiar - 979,VITORIA,ESPIRITO SANTO,iona_tillman@dickinson.test,(38) 5671-8764,49518-364,Brasil
11746,HOSPITAL DA SANTA CASA DE MISERICORDIA DE VITORIA,Ponte Salvador - 176,VITORIA,ESPIRITO SANTO,vincent@wisozk.example,(51) 6817-7554,96534-504,Brasil
2338424,HOSPITAL DAS CLINICAS,Alameda Lívia Rios - 56365,GOIANIA,GOIAS,rosaline@herman.test,(82) 1571-4975,94114-042,Brasil
2283832,HOSPITAL DAS CLINICAS DE JUSCELINO,Viela Ana - 1380,MESQUITA,RIO DE JANEIRO,marielle@crona.test,(27) 5502-3640,96299-237,Brasil
2297795,HOSPITAL DAS CLINICAS DE TERESOPOLIS,Alameda Oliver Munhoz - 8296,TERESOPOLIS,RIO DE JANEIRO,erinn.hettinger@wuckert-wisoky.example,(55) 0025-6313,09246-497,Brasil
697524,HOSPITAL DE AERONAUTICA DOS AFONSOS,Marginal Thomas Barbosa - s/n,RIO DE JANEIRO,RIO DE JANEIRO,sanford.huel@tremblay-koss.test,(11) 3566-2208,25197-217,Brasil
129968,HOSPITAL DE CAMPANHA COVID 19 QUEIMADOS RJ,Avenida Miguel Ornelas - 69501,QUEIMADOS,RIO DE JANEIRO,lavona@hessel.example,(46) 4446-1519,52344-979,Brasil
6656951,HOSPITAL DE CAMPANHA COVID 19 SAO JOAO DA BARRA,Avenida Danilo - 25477,SAO JOAO DA BARRA,RIO DE JANEIRO,sherie@denesik.test,(45) 3503-4075,40586-188,Brasil
2267713,HOSPITAL DE CANTAGALO,Travessa Gael - 298,CANTAGALO,RIO DE JANEIRO,trena.kling@kihn.example,(45) 1721-7174,35845-167,Brasil
3013383,HOSPITAL DE CLINICAS ALAMEDA,Travessa Ruan - 8262,NITEROI,RIO DE JANEIRO,victoria@lakin.example,(87) 1862-7086,69959-359,Brasil
3019764,HOSPITAL DE CLINICAS BANGU,Avenida Joana Beltrão - 891,RIO DE JANEIRO,RIO DE JANEIRO,lindsey.koelpin@schultz-schmeler.test,(98) 1691-4165,99913-646,Brasil
2289709,HOSPITAL DE CLINICAS BELFORD ROXO,Viela Arthur Henrique Saraiva - 82991,BELFORD ROXO,RIO DE JANEIRO,seth@mayer.example,(34) 6335-9943,63595-841,Brasil
2206595,HOSPITAL DE CLINICAS DA UFTM,Ponte Talita - 72510,UBERABA,MINAS GERAIS,sherrell_oreilly@labadie.example,(79) 9040-8926,21662-156,Brasil
2146355,HOSPITAL DE CLINICAS DE UBERLANDIA,Rua Enzo - s/n,UBERLANDIA,MINAS GERAIS,kieth.flatley@mueller.example,(95) 2222-3037,45153-910,Brasil
3046303,HOSPITAL DE CLINICAS DR ALOAN,Viela Davi Lucas Bulhões - 7782,RIO DE JANEIRO,RIO DE JANEIRO,cleveland@fay.example,(94) 9192-8928,97250-075,Brasil
3014681,HOSPITAL DE CLINICAS MARIO LIONI,Rodovia Alice Dias - s/n,DUQUE DE CAXIAS,RIO DE JANEIRO,meridith.kulas@aufderhar-oconner.test,(55) 6016-4181,73251-408,Brasil
3211649,HOSPITAL DE CLINICAS MARQUES DE VALENCA,Rodovia Bento Caldeira - s/n,VALENCA,RIO DE JANEIRO,darrell_wisozk@schuster-muller.example,(21) 4125-0018,86498-187,Brasil
2294923,HOSPITAL DE CLINICAS NOSSA SENHORA DA CONCEICAO,Travessa Rafael - 5102,TRES RIOS,RIO DE JANEIRO,felicita.thiel@schuppe.example,(33) 4675-1174,01685-357,Brasil
5355699,HOSPITAL DE CLINICAS SANTA CRUZ,Marginal Célia - 6134,RIO DE JANEIRO,RIO DE JANEIRO,louie@hettinger-weissnat.test,(46) 0045-8487,51072-769,Brasil
9491619,HOSPITAL DE CORDEIRO,Travessa Júlia - 21493,CORDEIRO,RIO DE JANEIRO,alta@daniel-koepp.example,(81) 9692-6034,21190-891,Brasil
471755,HOSPITAL DE FORCA AEREA DO GALEAO,Avenida André - 53276,RIO DE JANEIRO,RIO DE JANEIRO,mui.jenkins@goyette.example,(21) 6510-5609,89060-634,Brasil
2447894,HOSPITAL DE JERONIMO MONTEIRO UIJM,Travessa Murilo - 11213,JERONIMO MONTEIRO,ESPIRITO SANTO,joaquin@orn-kunde.example,(22) 7318-2337,56507-325,Brasil
2285932,HOSPITAL DE MIRACEMA,Avenida Janaína Camacho - 3456,MIRACEMA,RIO DE JANEIRO,keren@schaden.example,(17) 1189-3036,93444-858,Brasil
5136989,HOSPITAL DE OLHOS DO MEIER,Marginal João Samuel Meira - 1090,RIO DE JANEIRO,RIO DE JANEIRO,teodoro.kshlerin@wuckert.example,(73) 0621-9696,03635-824,Brasil
3114252,HOSPITAL DE OLHOS NITEROI,Rua Yuri - 497,NITEROI,RIO DE JANEIRO,christopher@sanford.example,(53) 6536-9626,91165-373,Brasil
12610,HOSPITAL DE OLHOS SANTA BEATRIZ,Rodovia Sophie - s/n,NITEROI,RIO DE JANEIRO,reanna@hayes-okeefe.test,(84) 8469-7939,37772-609,Brasil
2281384,HOSPITAL DE PRAIA BRAVA,Ponte Isabelly - s/n,ANGRA DOS REIS,RIO DE JANEIRO,denny@yundt.test,(62) 6672-9089,66014-577,Brasil
113115,HOSPITAL DE RETAGUARDA GONCALENSE,Avenida Heitor Lobos - s/n,SAO GONCALO,RIO DE JANEIRO,susy_bauch@reichert-stark.example,(12) 5340-0782,23063-912,Brasil
2285150,HOSPITAL DE SAO VICENTE,Rodovia Carlos Eduardo - 124,ARARUAMA,RIO DE JANEIRO,regena.homenick@turner.example,(97) 4216-5394,83184-344,Brasil
3013146,HOSPITAL DI CAMP,Travessa Maria Flor - s/n,RIO DE JANEIRO,RIO DE JANEIRO,yvone_koelpin@kuhn-wehner.test,(62) 1507-7116,36670-343,Brasil
3013014,HOSPITAL DO AMPARO,Avenida Lucca da Costa - 7872,RIO DE JANEIRO,RIO DE JANEIRO,freddie@christiansen.example,(44) 4236-8546,71483-639,Brasil
6233023,HOSPITAL DO CESTEP ARAGUAINA,Alameda Eduardo Filgueira - 51911,ARAGUAINA,TOCANTINS,donn@upton.test,(63) 8072-3749,62434-695,Brasil
3784630,HOSPITAL DO MEIER,Rodovia Francisca Ferreira - 2534,RIO DE JANEIRO,RIO DE JANEIRO,louie_fahey@lind.example,(35) 4729-8074,31819-950,Brasil
3267504,HOSPITAL DO OLHO DE NILOPOLIS,Marginal Benjamin Freitas - s/n,NILOPOLIS,RIO DE JANEIRO,detra.emard@kling-zboncak.test,(79) 4736-4957,20270-322,Brasil
2280159,HOSPITAL DO OLHO DO RIO DE JANEIRO,Ponte Pérola Hermingues - 4711,RIO DE JANEIRO,RIO DE JANEIRO,carie@oconner.example,(94) 4082-5402,17371-455,Brasil
985201,HOSPITAL DO OLHO MAGE,Travessa Bernardo - 15670,MAGE,RIO DE JANEIRO,jewell@hermann-hauck.example,(34) 1736-0040,69635-745,Brasil
2298317,HOSPITAL DOS PLANTADORES DE CANA,Viela Ayla Longuinho - 1114,CAMPOS DOS GOYTACAZES,RIO DE JANEIRO,berry@barrows-hyatt.example,(74) 2083-4792,45885-478,Brasil
2445956,HOSPITAL DOUTORA RITA DE CASSIA,Rua Maria - 2976,BARRA DE SAO FRANCISCO,ESPIRITO SANTO,douglass_schulist@kuhlman-johns.test,(91) 0915-5416,05878-477,Brasil
3048721,HOSPITAL DR BADIM,Alameda Luiz Henrique Vimaranes - 60400,RIO DE JANEIRO,RIO DE JANEIRO,pearlene.von@roberts.example,(18) 0011-1039,48543-040,Brasil
2287285,HOSPITAL DR BEDA,Travessa Suélen Bouças - s/n,CAMPOS DOS GOYTACAZES,RIO DE JANEIRO,necole.klein@sipes.example,(22) 7721-5321,64883-624,Brasil
2282801,HOSPITAL DR CELSO ERTHAL,Rua Erick Carreira - 31064,BOM JARDIM,RIO DE JANEIRO,sung_runte@steuber.test,(48) 2286-3604,31649-221,Brasil
2292084,HOSPITAL DR LUIZ PALMIER,Travessa Mariah - 431,SAO GONCALO,RIO DE JANEIRO,trudie@moore-kozey.test,(77) 9456-2269,69209-629,Brasil
2119528,HOSPITAL DR MOISES MAGALHAES FREIRE,Avenida Isaac Cardoso - 7054,PIRAPORA,MINAS GERAIS,evan_wunsch@schultz.example,(43) 3552-7872,57008-825,Brasil
2708078,HOSPITAL DR NELSON DOS SANTOS GONCALVES,Travessa André - 936,VOLTA REDONDA,RIO DE JANEIRO,whitney@watsica-price.example,(37) 8254-6905,77850-866,Brasil
2181770,HOSPITAL EDUARDO DE MENEZES,Ponte Karla Nunes - s/n,BELO HORIZONTE,MINAS GERAIS,stanley@pouros-schmeler.test,(61) 7835-2871,17727-894,Brasil
5510341,HOSPITAL EGAS MONIZ DA OBRA PORTUGUESA DE ASSISTENCIA,Viela Lucas Gabriel Barata - 934,RIO DE JANEIRO,RIO DE JANEIRO,dion@jacobi-cummings.test,(77) 6253-0988,06822-964,Brasil
6878865,HOSPITAL E MATERNDADE SANTA LUCIA,Marginal Lívia - 2942,RIO DE JANEIRO,RIO DE JANEIRO,cole_lehner@carter.test,(46) 6751-8828,83095-966,Brasil
2280868,HOSPITAL E MATERNIDADE CODRATO DE VILHENA,Travessa Karla - 8226,ANGRA DOS REIS,RIO DE JANEIRO,demetrius@haley-friesen.test,(97) 9680-8425,38023-518,Brasil
2280477,HOSPITAL E MATERNIDADE DA ALDEIA,Rua Vinícius Teles - 80716,SAO PEDRO DA ALDEIA,RIO DE JANEIRO,regina@schmitt.test,(65) 9007-2581,14156-168,Brasil
2287927,HOSPITAL E MATERNIDADE MARIA DE NAZARE,Ponte Davi Lucca Viveiros - 5745,BARRA DO PIRAI,RIO DE JANEIRO,noble.lynch@jacobs.example,(34) 7582-9255,32655-271,Brasil
182974,HOSPITAL E MATERNIDADE MUNICIPAL DE QUEIMADOS,Ponte Luiza Martins - 53233,QUEIMADOS,RIO DE JANEIRO,annmarie_terry@wyman.example,(42) 0978-3350,90377-651,Brasil
2628023,HOSPITAL E MATERNIDADE NOSSA SENHORA DA CONCEICAO,Alameda Ana Lívia - s/n,PIUMA,ESPIRITO SANTO,maple@doyle-schroeder.test,(69) 9288-9256,02031-325,Brasil
2527413,HOSPITAL E MATERNIDADE REGIONAL SAO FRANCISCO,Ponte Maya Bomdia - 98104,CANINDE,CEARA,lurlene_ernser@hessel-stracke.test,(65) 1783-7377,30316-757,Brasil
2340429,HOSPITAL E MATERNIDADE SANTA LUZIA,Rua Liz - 483,LUZIANIA,GOIAS,drema@bradtke.test,(61) 8240-5932,53641-321,Brasil
2081202,HOSPITAL E MATERNIDADE SAO LUCAS,Marginal Antônio Caseira - 57838,RIBEIRAO PIRES,SAO PAULO,joetta_marks@emmerich.example,(74) 9977-1723,73206-374,Brasil
2446030,HOSPITAL E MATERNIDADE SILVIO AVIDOS,Alameda Levi - s/n,COLATINA,ESPIRITO SANTO,chu_pollich@barrows.test,(93) 2749-4237,73713-894,Brasil
2208857,HOSPITAL ESCOLA AISI ITAJUBA,Rodovia Clara Fernandes - s/n,ITAJUBA,MINAS GERAIS,noel_schulist@wyman.test,(91) 2994-8800,87856-794,Brasil
2287447,HOSPITAL ESCOLA ALVARO ALVIM,Avenida Ana Vitória de Oliveira - 36749,CAMPOS DOS GOYTACAZES,RIO DE JANEIRO,elwood_boyle@mann.test,(73) 5537-9050,22989-730,Brasil
2720035,HOSPITAL ESCOLA DR HELVIO AUTO,Travessa Juliana Pedroso - 822,MACEIO,ALAGOAS,olin.dietrich@herman.example,(95) 3851-9492,54177-027,Brasil
2292912,HOSPITAL ESCOLA LUIZ GIOSEFFI JANNUZZI,Rodovia Bryan - 92525,VALENCA,RIO DE JANEIRO,lissa_yundt@schroeder.example,(71) 7644-2571,57405-781,Brasil
6602533,HOSPITAL ESTADUAL DA CRIANCA,Alameda Maria - 49497,FEIRA DE SANTANA,BAHIA,forest.borer@spencer.example,(34) 0569-7988,02555-056,Brasil
2534967,HOSPITAL ESTADUAL DE FORMOSA DR CESAR SAAD FAYAD,Alameda Antonia Espinheira - 9663,FORMOSA,GOIAS,kelsey_greenfelder@hermann.test,(95) 3214-2497,19552-538,Brasil
2382474,HOSPITAL ESTADUAL DE S LUIS DE MONTES BELOS DR GERALDO LANDO,Avenida Mariana da Fronteira - s/n,SAO LUIS DE MONTES BELOS,GOIAS,adrian@kirlin.test,(94) 1879-5894,87994-766,Brasil
2506661,HOSPITAL ESTADUAL DOENCAS TROPICAIS DR ANUAR AUAD HDT,Rodovia Alice Henriques - 5801,GOIANIA,GOIAS,tyrell@lind-schulist.example,(37) 9020-5282,03794-127,Brasil
7257406,HOSPITAL ESTADUAL DR JAYME SANTOS NEVES,Avenida João - 37251,SERRA,ESPIRITO SANTO,thanh@orn.test,(32) 7596-6022,26093-400,Brasil
2273756,HOSPITAL EUFRASIA TEIXEIRA LEITE,Travessa Ana Laura Amoreira - 83134,VASSOURAS,RIO DE JANEIRO,sam.aufderhar@botsford.example,(51) 6167-4736,31332-529,Brasil
2494442,HOSPITAL EVANGELICO DE VILA VELHA,Avenida Allana - 901,VILA VELHA,ESPIRITO SANTO,krystina.ankunding@koss.test,(13) 9472-8882,36110-554,Brasil
2273519,HOSPITAL EVANGELICO DO RIO DE JANEIRO,Alameda Talita Ouriques - 73869,RIO DE JANEIRO,RIO DE JANEIRO,eldon_beahan@kirlin.test,(44) 4962-6264,49039-826,Brasil
2442108,HOSPITAL EVANGELICO GOIANO SA,Rodovia Sophie Barata - s/n,ANAPOLIS,GOIAS,branden_boyer@mcclure.example,(31) 5988-5498,78679-066,Brasil
2287579,HOSPITAL FERREIRA MACHADO,Rua Márcia - 286,CAMPOS DOS GOYTACAZES,RIO DE JANEIRO,chance@braun.example,(14) 9043-0415,34133-711,Brasil
2267187,HOSPITAL FLAVIO LEAL,Alameda Malu - 85369,PIRAI,RIO DE JANEIRO,bernard@christiansen.test,(66) 4100-1993,56359-089,Brasil
2365375,HOSPITAL FLORISA SILVA,Rodovia Vinícius Vidal - 43274,JAICOS,PIAUI,larisa_mohr@gislason-kulas.example,(54) 2635-4530,23753-068,Brasil
113891,HOSPITAL FRANCISCANO,Alameda Vitor Paes - s/n,SAO GONCALO,RIO DE JANEIRO,willian@swift.test,(66) 6828-6216,02591-831,Brasil
2297566,HOSPITAL FRANCISCANO NOSSA SENHORA DAS GRACAS,Avenida Mathias - 53173,SAO GONCALO,RIO DE JANEIRO,meghann.rosenbaum@okeefe.example,(27) 7803-1573,90514-532,Brasil
3584968,HOSPITAL FRANCISCO LIMONGI,Viela Lucas - 4650,TRAJANO DE MORAES,RIO DE JANEIRO,wilbert.schultz@rau-romaguera.test,(95) 1897-4916,17557-096,Brasil
7632681,HOSPITAL FUNDACAO DO CANCER,Viela Djalma - 2534,RIO DE JANEIRO,RIO DE JANEIRO,cameron.emmerich@watsica.example,(38) 4062-1900,51403-680,Brasil
4020405,HOSPITAL GERAL DAGOBERTO OMENA HGDO,Marginal Levi - 688,MURICI,ALAGOAS,nichole@schultz.example,(37) 4330-5647,30487-670,Brasil
2267802,HOSPITAL GERAL DE ARRAIAL DO CABO,Rua Enzo Thiago - 8034,ARRAIAL DO CABO,RIO DE JANEIRO,freddie.hamill@bartoletti.example,(82) 1073-8560,62680-590,Brasil
3002187,HOSPITAL GERAL DE GUARUS,Viela Sara - 4718,CAMPOS DOS GOYTACAZES,RIO DE JANEIRO,hilton.bechtelar@pouros.test,(77) 2605-6419,35442-289,Brasil
2615746,HOSPITAL GERAL DE PARAUAPEBAS MANOEL EVALDO BENEVIDES ALVES,Avenida Enzo Thiago Gomide - s/n,PARAUAPEBAS,PARA,euna.bergnaum@mertz.test,(22) 0306-9447,34359-843,Brasil
2006510,HOSPITAL GERAL DO ESTADO DR OSVALDO BRANDAO VILELA,Viela Morgana - s/n,MACEIO,ALAGOAS,otto.larson@hudson.test,(98) 6295-5075,50915-592,Brasil
3015327,HOSPITAL GERAL DO INGA,Marginal Francisca - s/n,NITEROI,RIO DE JANEIRO,albina@bergnaum.test,(88) 6693-5045,94227-590,Brasil
2268329,HOSPITAL GERAL DR LUIZ PINTO,Ponte Maria Luiza Coqueiro - 4541,RIO DAS FLORES,RIO DE JANEIRO,boyd@hansen.test,(28) 5977-3743,26537-493,Brasil
2785900,HOSPITAL GERAL DR WALDEMAR ALCANTARA,Rua Marcelo - s/n,FORTALEZA,CEARA,kimber@heller.example,(14) 2748-5878,61211-638,Brasil
3984338,HOSPITAL GERAL EL KADRI LTDA,Alameda Daniel - 3887,CAMPO GRANDE,MATO GROSSO DO SUL,rodolfo@mertz.example,(82) 0673-6026,05298-657,Brasil
5307864,HOSPITAL GERAL MUNICIPAL SAO FRANCISCO DE ASSIS,Alameda Benjamin - s/n,PORTO REAL,RIO DE JANEIRO,heath_collier@thompson.example,(14) 2061-7979,60689-794,Brasil
3132471,HOSPITAL GERAL PRONTO CARDIO,Rodovia Pedro Lucas Lopes - 6842,CAMPOS DOS GOYTACAZES,RIO DE JANEIRO,jestine@pouros.example,(91) 4293-9836,02218-372,Brasil
7580126,HOSPITAL GERAL PRONTONIL,Travessa Davi - s/n,NOVA IGUACU,RIO DE JANEIRO,gilbert@osinski.example,(86) 6840-5064,34125-036,Brasil
12599,HOSPITAL GETULIO VARGAS FILHO,Marginal Breno - s/n,NITEROI,RIO DE JANEIRO,morton_dare@beahan.test,(74) 8385-1697,13325-225,Brasil
2295075,HOSPITAL GUSTAVO MONTEIRO JUNIOR,Avenida Sirineu - s/n,VALENCA,RIO DE JANEIRO,rosann.sanford@konopelski-hilll.test,(95) 6242-4614,85186-942,Brasil
3040119,HOSPITAL HELIO MONTEZANO DE OLIVEIRA,Viela Morgana - s/n,SANTO ANTONIO DE PADUA,RIO DE JANEIRO,lorine@gottlieb-russel.test,(87) 1201-7706,35760-632,Brasil
6734014,HOSPITAL ICARAI,Rodovia João Pedro - s/n,NITEROI,RIO DE JANEIRO,stanley_gibson@hoppe.example,(24) 4931-9714,23752-400,Brasil
3521168,HOSPITAL ILHACOR,Viela Joaquim - 4979,RIO DE JANEIRO,RIO DE JANEIRO,jarrod@von.example,(83) 1225-2562,91624-841,Brasil
7954549,HOSPITAL ILHA DO GOVERNADOR,Ponte Kaique Lopes - 5994,RIO DE JANEIRO,RIO DE JANEIRO,florene@ondricka.test,(37) 3665-8506,79772-606,Brasil
2297132,HOSPITAL INFANTIL 21 DE JULHO LTDA,Rua Víctor Bentes - 6168,QUEIMADOS,RIO DE JANEIRO,scarlett.champlin@rohan.test,(71) 8538-0601,62028-270,Brasil
2704595,HOSPITAL INFANTIL DARCY SOUZA VARGAS,Travessa Giovanna Barros - 550,SAO GONCALO,RIO DE JANEIRO,cordell@haag-leffler.example,(93) 2959-2476,42159-878,Brasil
2296748,HOSPITAL INFANTIL DE BELFORD ROXO,Ponte Ana Júlia - 9570,BELFORD ROXO,RIO DE JANEIRO,crystal.renner@swift.test,(83) 0422-5230,08672-036,Brasil
2277751,HOSPITAL INFANTIL ISMELIA SILVEIRA,Viela Alexandre - 278,DUQUE DE CAXIAS,RIO DE JANEIRO,nannette@frami.test,(92) 1972-1942,78222-643,Brasil
2969734,HOSPITAL INFANTIL MUNICIPAL ENG BELFORD ROXO,Travessa Maria Luiza Madeira - 5842,BELFORD ROXO,RIO DE JANEIRO,dong_beahan@prosacco.example,(61) 9448-9360,30217-118,Brasil
11800,HOSPITAL INFANTIL NOSSA SENHORA DA GLORIA,Travessa João Guilherme - s/n,VITORIA,ESPIRITO SANTO,randall_stracke@douglas.test,(38) 4007-7535,16863-665,Brasil
3005984,HOSPITAL ITALIANO,Rodovia Hélio - s/n,RIO DE JANEIRO,RIO DE JANEIRO,terrie_marks@trantow.test,(11) 0145-3979,43236-994,Brasil
2696908,HOSPITAL JOAO VIANA,Rua Dalila Veloso - 347,CAMPOS DOS GOYTACAZES,RIO DE JANEIRO,santa_wehner@donnelly.test,(74) 4580-1055,27977-530,Brasil
5686008,HOSPITAL LAR INTERLINK,Alameda Elisa - s/n,RIO DE JANEIRO,RIO DE JANEIRO,forest@emard-hirthe.test,(27) 7380-5066,53335-081,Brasil
6485960,HOSPITAL MACEIO,Ponte Igor - 606,MACEIO,ALAGOAS,mario@kemmer-lesch.example,(22) 0562-1034,88328-545,Brasil
2696916,HOSPITAL MADRE TEREZA DE CALCUTA,Travessa Sophia - s/n,MACAE,RIO DE JANEIRO,jc@schimmel.example,(32) 3324-9836,78972-021,Brasil
89338,HOSPITAL MARCOS MORAES,Ponte Luiz Otávio - s/n,RIO DE JANEIRO,RIO DE JANEIRO,selina.donnelly@conn.example,(73) 0436-8491,81863-335,Brasil
2269899,HOSPITAL MARIO KROEFF,Viela Alice - 5917,RIO DE JANEIRO,RIO DE JANEIRO,darin_kuhlman@bernhard.example,(71) 8542-7063,78850-300,Brasil
2271826,HOSPITAL MATERNIDADE DOUTOR MARIO DUTRA DE CASTRO,Rodovia João Samuel Guedes - 244,NOVA FRIBURGO,RIO DE JANEIRO,felton@gleichner.example,(89) 7437-4281,67711-494,Brasil
